scientific_name,family,group,origin,comments,source
Chenopodium vulvaria,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chloris radiata,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cicer arietinum,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cirsium ochrocentrum var. ochrocentrum,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cladoraphis cyperoides,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cnidium monnieri,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Coreopsis rosea,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Coriandrum sativum,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cornus obliqua,Cornaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cornus sessilis,Cornaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cosmos bipinnatus,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cotinus coggygria,Anacardiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cotula mexicana,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Crepis tectorum,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Crocus kotschyanus,Iridaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Crocus tommasinianus,Iridaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cucumis anguria,Cucurbitaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cycladenia humilis var. humilis,Apocynaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cyclospermum leptophyllum,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cynodon × magennisii,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cyperus aggregatus,Cyperaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cyperus fuscus,Cyperaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cyperus odoratus,Cyperaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Delosperma cooperi,Aizoaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Dichanthelium commutatum var. commutatum,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Dichelostemma volubile,Asparagaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Diplotaxis muralis,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Dipsacus laciniatus,Dipsacaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Doronicum plantagineum,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Dracunculus vulgaris,Araceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Dysphania multifida,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Echinochloa colona,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Echinochloa crus-pavonis var. crus-pavonis,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Echinocystis lobata,Cucurbitaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Echium candicans,Boraginaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Echium vulgare,Boraginaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Eichhornia crassipes,Pontederiaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Elaeagnus commutata,Elaeagnaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Eleusine tristachya,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Elymus ciliaris,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Elymus tsukushiensis,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Eragrostis pectinacea var. miserrima,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Erica carnea,Ericaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Erigeron karvinskianus,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Escallonia rubra,Escalloniaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Euonymus europaeus,Celastraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Euonymus fortunei,Celastraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Euphorbia characias,Euphorbiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Euphorbia dentata,Euphorbiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Euthamia graminifolia,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Filago pyramidata var. pyramidata,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Filago vulgaris,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Frankenia pulverulenta,Frankeniaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Fritillaria eastwoodiae,Liliaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Fritillaria purdyi,Liliaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Gaillardia × grandiflora,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Gaillardia pulchella,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Galanthus nivalis,Amaryllidaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Galinsoga parviflora,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Gladiolus communis,Iridaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Gleditsia triacanthos,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Gypsophila elegans,Caryophyllaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Gypsophila pilosa,Caryophyllaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Hackelia mundula,Boraginaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Hedera colchica,Araliaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Helenium puberulum,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Helianthus petiolaris,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Helianthus tuberosus,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Hemerocallis fulva,Xanthorrhoeaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Hemerocallis minor,Xanthorrhoeaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Heracleum mantegazzianum,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Hesperocyparis macrocarpa,Cupressaceae,Gymnosperms,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Hesperocyparis sargentii,Cupressaceae,Gymnosperms,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Hieracium piloselloides,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Hieracium sabaudum,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Hoita macrostachya,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Hyacinthoides × massartiana,Asparagaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Inula britannica,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Iris orientalis,Iridaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Iris tenuissima,Iridaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Juncus pylaei,Juncaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Juniperus chinensis,Cupressaceae,Gymnosperms,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Knautia arvensis,Dipsacaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Kniphofia uvaria,Xanthorrhoeaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Laburnum anagyroides,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lactuca canadensis,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lactuca ludoviciana,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lagurus ovatus,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lapsanastrum apogonoides,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lathyrus nissolia,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lathyrus odoratus,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lathyrus sativus,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lathyrus vernus,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Layia carnosa,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Layia chrysanthemoides,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Layia fremontii,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Layia platyglossa,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Layia septentrionalis,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Leontodon autumnalis var. pratensis,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lepidium graminifolium,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lepidium pinnatifidum,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lepidium ruderale,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Leucanthemum × superbum,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Leucanthemum maximum,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Leucojum aestivum,Amaryllidaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Leymus × multiflorus,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Leymus racemosus,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lithodora diffusa ssp. diffusa,Boraginaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lobelia cardinalis,Campanulaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lobelia erinus,Campanulaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lobelia pedunculata,Campanulaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lolium × hybridum,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lolium rigidum,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lonicera japonica,Caprifoliaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lonicera maackii,Caprifoliaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lonicera subspicata var. denudata,Caprifoliaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lonicera tatarica,Caprifoliaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Lotus subbiflorus var. subbiflorus,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Marah fabacea,Cucurbitaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Marah watsonii,Cucurbitaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Matthiola incana,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Medicago falcata,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Medicago turbinata,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Mercurialis annua,Euphorbiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Miscanthus sinensis,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Muilla transmontana,Asparagaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Murdannia keisak,Commelinaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Muscari armeniacum,Asparagaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Myosotis ramosissima,Boraginaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Myosotis sylvatica,Boraginaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Myosoton aquaticum,Caryophyllaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Myrrhis odorata,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Narcissus × incomparabilis,Amaryllidaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
