plant_type,scientific_name,cultivar,botanical_name_raw,common_name,total_on_site,grower_source,comments
Perennial,Baptisia australis,,Baptisia australis,Wild Indigo,2,Forest Farm,
Perennial,Baptisia sphaerocarpa,,Baptisia sphaerocarpa,'Screamin' Yellow' Wild Indigo,1,HCG,
Perennial,Berlandiera lyrata,,Berlandiera lyrata,Chocolate Flower,8+,HCG,
Perennial,Callirhoe involucrata,,Callirhoe involucrata,Purple Poppy Mallow,1,IDFW Prop,"Keep caged initially, mammal damage"
Perennial,Campanula portenschlagiana,,Campanula portenschlagiana,'Resholdt's Variety' Bellflower,2,OVN,
Perennial,Centranthus ruber,,Centranthus ruber,'Coccineus' Jupiter's Beard,3,Roger,Minimal watering once established; cut back by at least half after flowering to encourage fresh foliage and blooms
Perennial,Centranthus ruber,,Centranthus ruber,'Albus' White Valerian,1,IDFW Prop,Minimal watering once established; cut back by at least half after flowering to encourage fresh foliage and blooms
Perennial,Ceratostigma plumbaginoides,,Ceratostigma plumbaginoides,Hardy Plumbago,2,HCG,
Perennial,Coreopsis grandiflora,,Coreopsis grandiflora,'Grand Flying Saucers' Coreopsis,20+,Roots & Rhizomes,"Volunteers, needs frequent deadheading"
Perennial,Dalea oranta,,Dalea oranta,Blue Mountain Prairie Clover,3+,CSR,
Perennial,Dianthus gratianopolitanus,,Dianthus gratianopolitanus,'Firewitch' Dianthus,14,Roots & Rhizomes/IDFW Prop,
Perennial,Dianthus gratianopolitanus,,Dianthus gratianopolitanus,'Tiny Rubies' Dianthus,1,Walla Walla Nursery Co.,
Perennial,Dianthus petraeus v. noeanus,,Dianthus petraeus v. noeanus,Fragrant Snowflake Dianthus,6+,HCG,
Perennial,Dianthus petraeus v. noeanus,,Dianthus petraeus v. noeanus,Fragrant Snowflake Dianthus,2,IDFW,"Transplants, plot 5"
Perennial,Digitalis obscura,,Digitalis obscura,Sunset Foxglove,1,HCG,"Leave foliage to overwinter, ~evergreen, cut down to the base in spring"
Perennial,Echinacea,,Echinacea,Sombrero® Salsa Red Coneflower,3,Edwards GH,
Perennial,Echinacea angustifolia,,Echinacea angustifolia,Narrow-leaved Coneflower,4+,Roger,
Perennial,Echinacea,,Echinacea,Big Sky™ Harvest Moon Coneflower,1,Roots and Rhizomes,
Perennial,Echinacea,,Echinacea,'Pixie Meadowbrite' Coneflower,2,Roots & Rhizomes,
Perennial,Echinacea pallida,,Echinacea pallida,Pale Purple Coneflower,4,Prairie Moon Nursery,
Perennial,Echinacea paradoxa,,Echinacea paradoxa,Bush's Coneflower,1,NA,
Perennial,Echinacea purpurea,,Echinacea purpurea,'Pica Bella' Coneflower,NA,HCG,
Perennial,Echinacea purpurea,,Echinacea purpurea,Purple Coneflower,NA,Roger,
Perennial,Echinocereus coccineus,,Echinocereus coccineus,Scarlet Hedgehog Cactus,1,HCG,
Perennial,Ephedra regeliana,,Ephedra regeliana,Creeping Ephedra,10,Far West,
Perennial,Erigeron formosissimus,,Erigeron formosissimus,Rambler™ Mountain Fleabane,6,IDFW Prop,"Crevice garden, plot 5"
Perennial,Erigeron speciosus,,Erigeron speciosus,'Darkest of All' Fleabane,3,HCG,
Perennial,Eriogonum allenii,,Eriogonum allenii,'Little Rascal' Sulphur Buckwheat,3,HCG/PS,
Perennial,Eriogonum compositum,,Eriogonum compositum,Arrowleaf Buckwheat,5,IDFW Prop,
Perennial,Eriogonum heracleoides,,Eriogonum heracleoides,Parsnip Flower or Whorled Buckwheat,5,IDFW Prop,
Perennial,Eriogonum heracleoides,,Eriogonum heracleoides,Parsnip Flower or Whorled Buckwheat,1,NEON,Crevice garden
Perennial,Eriogonum niveum,,Eriogonum niveum,Snow Buckwheat,5,,
Perennial,Eriogonum strictum,,Eriogonum strictum,Blue Mountain Buckwheat,6+,IDFW Prop,
Perennial,Eriogonum umbellatum v. humistratum,,Eriogonum umbellatum v. humistratum,'Tahoe' Buckwheat,2,Sunscapes,
Perennial,Erodium chrysanthum,,Erodium chrysanthum,Yellow Cranesbill,1,Sunscapes,
Perennial,Euphorbia,,Euphorbia,'Galaxy Glow' Spurge,4,CWI/IDFW Prop,
Perennial,Euphorbia polychroma,,Euphorbia polychroma,Cushion Spurge,6+,Walla Walla Nursery Co.,Should be cut in half after flowering to reduce self seeding
Perennial,Gaillardia grandiflora,,Gaillardia grandiflora,'Arizona Sun' Blanket Flower,25,Roots & Rhizomes,Naturalizes; new plants may not retain cultivar traits
Perennial,Gazania linearis,,Gazania linearis,'Colorado Gold' African Daisy,3+,Sunscapes,
Perennial,Geum,,Geum,'Sunkissed Lime',1,Ivy/Franz Witte,
Perennial,Geum,,Geum,'Fire Storm',1,Jaykers,
Perennial,Helianthemum,,Helianthemum,'Fire Dragon' Sun Rose,1,Edwards,
Perennial,Hemerocallis,,Hemerocallis,Daylily (cultivars in separate sheet),20+,Roger & Horticulture,"*All Daylilies* may be pruned to the ground after bloom, leaves dry out in more xeric conditions."
Perennial,Heuchera cylindrica,,Heuchera cylindrica,Roundleaf Alumroot,3,Draggin' Wing,
Perennial,Heuchera pulchella,,Heuchera pulchella,Sandia Coral Bells,2,HCG,
Perennial,Heuchera sanguinea,,Heuchera sanguinea,'Firefly' Coral Bells,2,Jordan's GC,
Perennial,Heuchera sanguinea,,Heuchera sanguinea,'Firefly' Coral Bells,3,IDFW Prop,
Perennial,Hylotelephium,,Hylotelephium,'Black Jack' Stonecrop,1,Jayker,
Perennial,Hylotelephium,,Hylotelephium,'Autumn Joy' Stonecrop,4,Jayker,
Perennial,Hylotelephium cauticola,,Hylotelephium cauticola,'Lidakense' Stonecrop,15,IDFW Prop,
Perennial,Hylotelephium telephium,,Hylotelephium telephium,'Touchdown Flame' Stonecrop,1,CWI Hort,
Perennial,Hymenoxys (Tetraneuris) scaposa,,Hymenoxys (Tetraneuris) scaposa,Thrift-leaf Perky Sue,20,HCG,"Drip irrigation only, minimal water"
Perennial,Iberis sempervirens,,Iberis sempervirens,Candy Tuft,4,BSU Hort,
Perennial,Iliamna rivularis,,Iliamna rivularis,Mountain Hollyhock,1,,
Perennial,Iris hybrid,,Iris hybrid,Bearded Iris,12,IBG,
Perennial,Iris sibirica,,Iris sibirica,'Caesar's Brother' Siberian Iris,2,Bluestone Perennials,
Perennial,Kniphofia,,Kniphofia,Pyromania® 'Orange Blaze',1,Andrea,
Perennial,Kniphofia caulescens,,Kniphofia caulescens,Red Hot Poker,6,HCG,"Larger statured, high moisture"
Perennial,Kniphofia uvaria,,Kniphofia uvaria,'Flamenco' Red Hot Poker,3,Walla Walla Nursery Co.,
Perennial,Leucanthemum x superbum,,Leucanthemum x superbum,'Becky' Shasta Daisy,1,Far West,
Perennial,Liatris aspera,,Liatris aspera,Tall Blazing Star,6+,Prairie Moon,Naturalizes
Perennial,Liatris punctata,,Liatris punctata,Dotted Gayfeather,6,Roger's yard,
Perennial,Linum lewisii,,Linum lewisii,Wild Blue Flax,3,IBG,
Perennial,Linum perenne,,Linum perenne,'Sapphire' Blue Flax,6,IDFW Prop,
Perennial,Mirabilis multiflora,,Mirabilis multiflora,Desert Four-o'clock',4,IBG / Propagation,Wait until the first hard frost then remove the entire plant (easily detaches from the ground)
Perennial,Monardella macrantha,,Monardella macrantha,‘Marian Sampson’ Monardella,10,HCG,
Perennial,Nepeta x faassenii,,Nepeta x faassenii,Junior Walker™ Catmint,3,Plants of the Wild,
Perennial,Nepeta x faassenii,,Nepeta x faassenii,'Walker's Low' Catmint,1,Far West,
Perennial,Oenothera caespitosa,,Oenothera caespitosa,Tufted Evening Primrose,8,Far West,
Perennial,Oenothera fremontii,,Oenothera fremontii,'Shimmer' Primrose,4,HCG,
Perennial,Oenothera macrocarpa,,Oenothera macrocarpa,Evening Primrose,6+,Fred Myer's,
Perennial,Opuntia,,Opuntia,Prickly Pear Cactus,4,BSU Hort,
Perennial,Origanum laevigatum,,Origanum laevigatum,'Pilgrim' Oregano,2,HCG,
Perennial,Osteospermum,,Osteospermum,'Mandy' Sun Daisy,1,Edwards,Crevice garden
Perennial,Osteospermum barberiae var. compactum,P005S,Osteospermum barberiae var. compactum 'P005S',PURPLE MOUNTAIN® Sun Daisy,3,"PS Slope, Division",
Perennial,Penstemon,,Penstemon,'Midnight Masquerade',3,Edwards,
Perennial,Penstemon,,Penstemon,'Red Riding Hood' Penstemon,1,Edwards GH,
Perennial,Penstemon barbatus/schmidel,,Penstemon barbatus/schmidel,'Delfts Blue Riding Hood' Penstemon,1,Roots & Rhizomes,
Perennial,Penstemon cardinalis,,Penstemon cardinalis,Cardinal Penstemon,2,IDFW Prop/Seed,Rare in trade
Perennial,Penstemon clutei,,Penstemon clutei,Sunset Crater Penstemon,4,IDFW Prop/Seed,
Perennial,Penstemon cobaea,,Penstemon cobaea,Foxglove Penstemon,1,Far West,
Perennial,Penstemon cobaea v. purpureus,,Penstemon cobaea v. purpureus,Prairie Penstemon,3,IDFW Prop,
Perennial,Penstemon digitalis,,Penstemon digitalis,'Mystica' Penstemon,5,IDFW Prop,
Perennial,Penstemon eatonii,,Penstemon eatonii,Firecracker Penstemon,6+,BSU Hort,
Perennial,Penstemon grandiflorus,,Penstemon grandiflorus,Large-flowered Penstemon,4,IDFW Prop,
Perennial,Penstemon palmeri,,Penstemon palmeri,Palmer Penstemon,6,Seed,Short lived (best from seed)
Perennial,Penstemon pseudospectabilis,,Penstemon pseudospectabilis,Desert Penstemon,3,IDFW Prop,
Perennial,Penstemon strictus,,Penstemon strictus,Rocky Mountain Penstemon,20+,Jayker,
Perennial,Penstemon venustus,,Penstemon venustus,Venus Penstemon,2,,
Perennial,Penstemon virens,,Penstemon virens,Blue Mist Penstemon,3,HCG,Crevice garden
Perennial,Penstemon virens,,Penstemon virens,Blue Mist Penstemon,2,NEON,Plot 5
Perennial,Phlomis cashmeriana,,Phlomis cashmeriana,Cashmere Sage,2,HCG/PS,
Perennial,Rosularia platyphylla,,Rosularia platyphylla,Rosularia,2,CWI Hort,
Perennial,Rudbeckia fulgida,,Rudbeckia fulgida,'Viette's Little Suzy' Black-eyed Susan,5,Walla Walla Nursery Co.,
Perennial,Rudbeckia fulgida v. sullivantii,,Rudbeckia fulgida v. sullivantii,'Little Goldstar' Rudbeckia,7,Roots & Rhizomes,
Perennial,Salvia canescens var. daghestanica,,Salvia canescens var. daghestanica,Platinum® Sage,3,HCG,Crevice garden
Perennial,Salvia greggii,,Salvia greggii,Autumn Sage,4,CWI Hort,The oldest specimen is 'Furman's Red' (behind Baptisia)
Perennial,Salvia nemorosa (sylvestris),,Salvia nemorosa (sylvestris),'Marcus' Dwarf Sage,3,HCG,Crevice garden
Perennial,Sanguisorba menziesii,,Sanguisorba menziesii,Menzies' Burnet,4,HCG,
Perennial,Sanguisorba minor,,Sanguisorba minor,Small Burnet,3,Roger / Propagation,
Perennial,Saponaria officinalis,,Saponaria officinalis,'Flore-Pleno' Double Flowered Soapwort,1,Forest Farm,
Perennial,Saponaria sicula ssp. intermedia,,Saponaria sicula ssp. intermedia,Soapwort,1,Meadow View Farms,
Perennial,Scutellaria angustifolia,,Scutellaria angustifolia,Skullcap,1,Roger,Leave foliage overwinter
Perennial,Scutellaria resinosa,,Scutellaria resinosa,'Smoky Hills' Skullcap,4,IDFW Prop,May naturalize in ideal conditions
Perennial,Scutellaria suffrutescens,,Scutellaria suffrutescens,Cherry Skullcap,1,HCG,Crevice garden
Perennial,Sedum,,Sedum,Sunsparkler® Cherry Tart,1,Far West,
Perennial,Sedum,,Sedum,Sunsparkler® Cherry Tart,4,Andrea,Crevice garden
Perennial,Sedum,,Sedum,Sunsparkler® 'Dazzleberry',1,Andrea,Crevice garden
Perennial,Sedum,,Sedum,Sunsparkler® 'Dazzleberry',3,Andrea,Plot 4
Perennial,Sedum,,Sedum,Sunsparkler® 'Dream Dazzler',1,MCG,
Perennial,Sedum,,Sedum,Sunsparkler® Jade Tuffet,3,Franz Witte,Plot 4
Perennial,Sedum,,Sedum,Sunsparkler® Lime Twister,1,Far West,Plot 4
Perennial,Sedum,,Sedum,Sunsparkler® 'Lime Zinger',3,IDFW,Seating area
Perennial,Sedum,,Sedum,Sunsparkler® 'Lime Zinger',4,IDFW,Plot 3
Perennial,Sedum,,Sedum,Sunsparkler® 'Lime Zinger',1,Far West,Plot 3
Perennial,Sedum,,Sedum,Sunsparkler® 'Plum Dazzled',1,MCG,
Perennial,Sedum,,Sedum,Sunsparkler® 'Plum Dazzled',1,IDFW,Plot 4
Perennial,Sedum,,Sedum,Rock 'N Grow® 'Coraljade' Stonecrop,2,Jordan's GC,
Perennial,Sedum kamtschaticum,,Sedum kamtschaticum,'Variegatum’ Sedum,1,Far West,
Perennial,Sedum kamtschaticum,,Sedum kamtschaticum,'Variegatum’ Sedum,3,IDFW Prop,Plot 4
Perennial,Sedum pachyclados,,Sedum pachyclados,Gray Stonecrop,3,Siskiyou,
Perennial,Sedum reflexum,,Sedum reflexum,'Blue Spruce' Stonecrop,8,Jayker,
Perennial,Sedum seiboldii,,Sedum seiboldii,October Daphne,1,MCG,
Perennial,Sedum seiboldii,,Sedum seiboldii,October Daphne,1,Franz Witte,
Perennial,Sedum telephium,,Sedum telephium,'Red Cauli' Stonecrop,2,IBG,
Perennial,Sedum x intermedia,,Sedum x intermedia,Thunderhead Stonecrop,3,American Medows,
Perennial,Sisyrinchium angustifolium,,Sisyrinchium angustifolium,'Lucerne' Blue-Eyed Grass,1,Far West,Plot 5
Perennial,Solidago sphacelata,,Solidago sphacelata,'Golden Fleece' Goldenrod,2,HCG,
Perennial,Sphaeralcea ambigua,,Sphaeralcea ambigua,Desert Mallow,20+,BSU Hort,Naturalizes
Perennial,Sphaeralcea coccinea,,Sphaeralcea coccinea,Scarlet Globemallow,12,,
Perennial,Sphaeralcea munroana,,Sphaeralcea munroana,Orange Globemallow,4,Roger,
Perennial,Stachys byzantina,,Stachys byzantina,'Silver Carpet' Lamb's Ear,3,HCG,Tolerates dry shade
Perennial,Stachys maxima,,Stachys maxima,Dwarf Pink Lamb's Ear,3,HCG,
Perennial,Stachys monieri,,Stachys monieri,'Hummelo' Lamb's Ear/Betony,3,HCG / Forest Farm,
Perennial,Symphyotrichum lateriflorum,,Symphyotrichum lateriflorum,'Lady in Black' Aster,3,HCG,
