plant_type,scientific_name,cultivar,botanical_name_raw,common_name,total_on_site,grower_source,comments
Shrub,Rhus trilobata,,Rhus trilobata,Oak-leaf Sumac,6,UI Pitkin Nursery,"Large specimens, zone 3 only or choose cultivars"
Shrub,Ribes aureum,,Ribes aureum,Golden Currant,3+,BSU Hort,"Native, naturalizes easily"
Shrub,Ribes sanguineum,,Ribes sanguineum,Red-flowering Currant,1,Forest Farm,
Shrub,Rosa,,Rosa,'Nearly Wild' Rose,1,HCG,
Shrub,Rosa,,Rosa,'Harison's Yellow' Rose,1,High Country Roses,
Shrub,Rosa,,Rosa,Oso Easy® Cherry Pie Rose,1,HCG,
Shrub,Rosa,,Rosa,'John Cabot' Rose,8,HCG,
Shrub,Rosa eglanteria,,Rosa eglanteria,Sweet Briar Rose,1,HCG,
Shrub,Rosa woodsii,,Rosa woodsii,Woods' Rose,2,Forest Farm,
Shrub,Rubus lanceolatus,,Rubus lanceolatus,'Black Satin' Raspberry,1,Propagation,
Shrub,Salix elaeagnos ssp. angustifolia,,Salix elaeagnos ssp. angustifolia,Rosemary Willow,2,Propagated,
Shrub,Sambucus caerulea,,Sambucus caerulea,Blue Elderberry,1,,
Shrub,Sambucus nigra,,Sambucus nigra,Black Elderberry,1,BVP,
Shrub,Symphoricarpos albus,,Symphoricarpos albus,Snowberry,2,BSU Hort,
Shrub,Symphoricarpos x doorenbosii,,Symphoricarpos x doorenbosii,'Kolmcan' Snowberry,1,"Gifted, INLA",
Shrub,Syringa hybrid,,Syringa hybrid,'Wonder Blue' Lilac,1,Far West,
Shrub,Syringa vulgaris,,Syringa vulgaris,Lilac,8,UI Pitkin Forest Nursery,
Shrub,Syringa x hyacinthiflora,,Syringa x hyacinthiflora,'Purple Glory' Lilac,1,Lawyers,
Shrub,Viburnum nudum,,Viburnum nudum,Brandywine™ Viburnum,1,Franz Witte,
Shrub,Vitex agnus-castus,,Vitex agnus-castus,Chaste Tree,1,Lawyers,Xeric only
Shrub,Weigela florida,,Weigela florida,Wine & Roses® Weigela,1,D&B,
Shrub,Yucca baccata,,Yucca baccata,Banana Yucca,1,Nich/Edwards,
Shrub,Yucca elata,,Yucca elata,Soaptree Yucca,1,CWI,
Shrub,Yucca filamentosa,,Yucca filamentosa,'Ivory Tower' Yucca,1,Far West,
Shrub,Yucca filamentosa,,Yucca filamentosa,Adam's Needle Yucca,9,Lawyers,
