scientific_name,common_name,plant_type,region_1_water_use,region_1_et0,region_1_plant_factor,region_2_water_use,region_2_et0,region_2_plant_factor,region_3_water_use,region_3_et0,region_3_plant_factor,region_4_water_use,region_4_et0,region_4_plant_factor,region_5_water_use,region_5_et0,region_5_plant_factor,region_6_water_use,region_6_et0,region_6_plant_factor
Abelia chinensis (Linnaea chinensis),Chinese abelia,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Abelia floribunda,Mexican abelia,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Abelia mosanensis 'Fragrant Abelia',fragrant abelia,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abelia parvifolia (A. longituba),Schuman abelia,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abelia x grandiflora 'Abelops',Sunshine daydream abelia,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abelia x grandiflora 'Wevol1',Bella Donna abelia,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abelia x grandiflora ssp. & cvs.,glossy abelia,"Ground Cover, Shrub",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A
Abelia × grandiflora 'Bailbeliaone' Vanilla Brandy™,Vanilla Brandy Abelia,Shrub,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abeliophyllum distichum,forsythia,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abelmoschus manihot (Hibiscus manihot),sunset muskmallow,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abies pinsapo,Spanish fir,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Abies spp. (CA native and non-native),fir,"Tree, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Abronia latifolia,yellow sand verbena,"Perennial, California Native",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abronia maritima,sand verbena,"Perennial, California Native",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abronia umbellata,Pink Sand Verbena,"Perennial, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A
Abutilon palmeri,Indian mallow,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Abutilon pictum thompsonii,variegated Chinese lantern,Shrub,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Abutilon vitifolium,flowering maple,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Abutilon x hybridum ssp. & cvs.,flowering maple,Shrub,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia  salicina,Willow Acacia,Tree,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Acacia abyssinica,Abyssinian acacia,"Shrub, Tree",Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia aneura,mulga,Shrub,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia angustissima,white ball acacia,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia baileyana,Bailey acacia,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia berlandieri (Senegalia berlandieri),guajillo,"Shrub, Tree",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia boormanii,Snowy River wattle,"Shrub, Arboretum All-Star",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia cognata 'ACCOG01' Cousin Itt™ PP25133,River Wattle,Shrub,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia cognata (Acacia subporosa),bower wattle,Tree,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia constricta,whitethorn acacia,"Shrub, Tree",Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Acacia covenyi,blue bush,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia craspedocarpa,leatherleaf acacia,"Shrub, Tree",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Acacia cultriformis,knife acacia,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia dealbata,silver wattle,Tree,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia decurrens,green wattle,Tree,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia erioloba,camel thorn,Tree,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia glaucoptera,clay wattle,Shrub,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia greggii (Senegalia greggii),catclaw acacia,"Shrub, Tree, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Acacia iteaphylla,willow wattle,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia jennerae,Coonavittra Wattle,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia linearifolia,golden wattle,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia longifolia,Sydney golden wattle,"Shrub, Tree",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia melanoxylon,blackwood acacia,Tree,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia merinthophora,zig-zag wattle,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia notabilis,notable wattle,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia pendula,weeping acacia,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia pennatula,pennatula acacia,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Acacia podalyriifolia,pearl acacia,"Shrub, Tree",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia pravissima,ovens wattle,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia redolens  'Prostrata',Prostrate Acacia,"Ground Cover, Shrub",Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Acacia rigens,needleleaf acacia,Shrub,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia rigidula,rigidula acacia,Tree,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia saligna,blue leaf wattle,"Shrub, Tree",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia schaffneri,twisted acacia,Tree,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia smallii,Sweet Acacia,Tree,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Acacia stenophylla,eumong/shoestring acacia,Tree,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia subporosa,subporosa acacia,"Shrub, Tree",Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia triptera,spur wing wattle,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia vestita,hairy wattle,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia willardiana (Mariosousa heterophylla),palo blanco,Tree,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia wrightii,Wright acacia,Tree,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acaena inermis 'Purpurea',purple New Zealand burr,Ground Cover,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acaena pinnatifida var. californica,garnet flower,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acalypha californica,copper leaf,"Shrub, California Native",Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acalypha hispida,chenille plant,Shrub,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acalypha monostachya,raspberry fuzzies,Shrub,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acalypha wilkesiana,copper leaf,Shrub,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acanthus mollis (shade in the desert) (dormant in summer in CV),bear's breech,Shrub,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
"Acanthus spinosus (dormant in summer in CV, perennial in shade on coast)",spiny bear's breach,Perennial,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acca sellowiana (Feijoa sellowiana),pineapple guava,"Shrub, Tree, Arboretum All-Star",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Acer X freemanii,Freeman maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acer barbinerve,bearded maple,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer buergerianum,trident maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer campestre,hedge maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer circinatum,vine maple,"Shrub, Tree, California Native",Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer circinatum 'Monroe',Monroe Vine Maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer crataegifolium,hawthorn maple,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer davidii,Pere David's maple,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer ginnala,amur maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer glabrum,mountain maple,"Tree, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer grandidentatum,bigtooth maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer griseum,paperbark maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acer japonicum,fernleaf maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer macrophyllum,big leaf maple,"Tree, California Native",Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer miyabei,miyabe maple,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer negundo,box elder,"Tree, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer oblongum,Himalayan maple,Tree,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer palmatum,Japanese maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer paxii,evergreen maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer pentaphyllum,Asian maple,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer platanoides,Norway maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer pseudoplatanus,sycamore maple,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer rubrum,red maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer rufinerve,redvein maple,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer saccharinum,silver maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer saccharum,sugar maple,Tree,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer shirasawanum,full moon maple,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer tataricum,tatar maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Acer tegmentosum,Manchurian striped maple,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer truncatum,Chinese maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer truncatum x platanoides 'Warrenred',Pacific Sunset Maple,Tree,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acer tschonoskii 'Koreanum',Korean striped bark maple,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Achillea 'Moonshine',Fern Leaf Yarrow,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30
Achillea ageratifolia,Greek yarrow,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Achillea clavennae,silvery yarrow,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Achillea filipendulina,fern leaf yarrow,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Achillea millefolium 'Paprika',Paprika Yarrow,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30
Achillea millefolium 'Sonoma Coast',Sonoma Coast yarrow,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30
Achillea millefolium (CA native cultivars),yarrow,"Ground Cover, Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
