symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,Ranunculaceae,True,OR
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,Ranunculaceae,True,OR
ACCOC3,ACGE3,Aconitum geranioides Greene,,Ranunculaceae,True,OR
ACCOC3,ACLE6,Aconitum leibergii Greene,,Ranunculaceae,True,OR
ACCOC3,ACMO3,Aconitum mogollonicum Greene,,Ranunculaceae,True,OR
ACCOV2,,Aconitum columbianum Nutt. ssp. viviparum (Greene) D.E. Brink,Columbian monkshood,Ranunculaceae,False,OR
ACCOV2,ACBU,Aconitum bulbiferum Howell,,Ranunculaceae,True,OR
ACCOV2,ACCOH,Aconitum columbianum Nutt. var. howellii (A. Nelson & J.F. Macbr.) C.L. Hitchc.,,Ranunculaceae,True,OR
ACCOV2,ACHA2,Aconitum hansenii Greene,,Ranunculaceae,True,OR
ACCOV2,ACHO,Aconitum howellii A. Nelson & J.F. Macbr.,,Ranunculaceae,True,OR
ACCOV2,ACVI5,Aconitum viviparum Greene,,Ranunculaceae,True,OR
ACDE3,,Acacia dealbata Link,silver wattle,Fabaceae,False,OR
ACDE3,ACDED,Acacia decurrens (Wendl. f.) Willd. var. dealbata (Link) F. Muell.,,Fabaceae,True,OR
ACEL4,,Actaea elata (Nutt.) Prantl,tall bugbane,Ranunculaceae,False,OR
ACEL4,CIEL,Cimicifuga elata Nutt.,,Ranunculaceae,True,OR
ACER,,Acer L.,maple,Aceraceae,False,OR
ACGL,,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae,False,OR
ACGLD4,,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple,Aceraceae,False,OR
ACGLD4,ACDO,Acer douglasii Hook.,,Aceraceae,True,OR
ACGLD4,ACGLD2,Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael,,Aceraceae,True,OR
ACGLT2,,Acer glabrum Torr. var. torreyi (Greene) Smiley,Torrey maple,Aceraceae,False,OR
ACGLT2,ACGLT,Acer glabrum Torr. ssp. torreyi (Greene) A.E. Murray,,Aceraceae,True,OR
ACGLT2,ACTO2,Acer torreyi Greene,,Aceraceae,True,OR
ACHE10,,Achnatherum hendersonii (Vasey) Barkworth,Henderson's needlegrass,Poaceae,False,OR
ACHE10,ORHE,Oryzopsis hendersonii Vasey,,Poaceae,True,OR
ACHE10,STHE5,Stipa hendersonii (Vasey) Muhl.,,Poaceae,True,OR
ACHI,,Acanthospermum hispidum DC.,hispid starbur,Asteraceae,False,OR
ACHIL,,Achillea L.,yarrow,Asteraceae,False,OR
ACHLY,,Achlys DC.,achlys,Berberidaceae,False,OR
ACHNA,,Achnatherum P. Beauv.,needlegrass,Poaceae,False,OR
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae,False,OR
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae,True,OR
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Poaceae,True,OR
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Poaceae,True,OR
ACHYR,,Achyrachaena Schauer,blow wives,Asteraceae,False,OR
ACLA12,,Actaea laciniata (S. Watson) J. Compton,Mt. Hood bugbane,Ranunculaceae,False,OR
ACLA12,CILA,Cimicifuga laciniata S. Watson,,Ranunculaceae,True,OR
ACLE8,,Achnatherum lemmonii (Vasey) Barkworth,Lemmon's needlegrass,Poaceae,False,OR
ACLE9,,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass,Poaceae,False,OR
ACLE9,STLE4,Stipa lettermanii Vasey,,Poaceae,True,OR
ACLEL,,Achnatherum lemmonii (Vasey) Barkworth var. lemmonii,Lemmon's needlegrass,Poaceae,False,OR
ACLEL,ACLEL2,Achnatherum lemmonii (Vasey) Barkworth ssp. lemmonii,,Poaceae,True,OR
ACLEL,STLE2,Stipa lemmonii (Vasey) Scribn.,,Poaceae,True,OR
ACLEL,STLEJ,Stipa lemmonii (Vasey) Scribn. var. jonesii Scribn.,,Poaceae,True,OR
ACLEL,STLEL,Stipa lemmonii (Vasey) Scribn. var. lemmonii,,Poaceae,True,OR
ACMA3,,Acer macrophyllum Pursh,bigleaf maple,Aceraceae,False,OR
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,False,OR
ACMIA,,Achillea millefolium L. var. alpicola (Rydb.) Garrett,common yarrow,Asteraceae,False,OR
ACMIA,ACAL11,Achillea alpicola (Rydb.) Rydb.,,Asteraceae,True,OR
ACMIA,ACFU,Achillea fusca Rydb.,,Asteraceae,True,OR
ACMIA,ACLAA,Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck,,Asteraceae,True,OR
ACMIA,ACLAA2,Achillea lanulosa Nutt. var. alpicola Rydb.,,Asteraceae,True,OR
ACMIA,ACMIF,Achillea millefolium L. var. fusca (Rydb.) G.N. Jones,,Asteraceae,True,OR
ACMIA,ACSU3,Achillea subalpina Greene,,Asteraceae,True,OR
ACMIC,,Achillea millefolium L. var. californica (Pollard) Jeps.,California yarrow,Asteraceae,False,OR
ACMIC,ACBOC,Achillea borealis Bong. ssp. californica (Pollard) D.D. Keck,,Asteraceae,True,OR
ACMIC,ACBOC2,Achillea borealis Bong. var. californica (Pollard) J.T. Howell,,Asteraceae,True,OR
ACMIC,ACCA7,Achillea californica Pollard,,Asteraceae,True,OR
ACMIL2,,Achillea millefolium L. var. litoralis Ehrend. ex Nobs,coast yarrow,Asteraceae,False,OR
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,False,OR
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,True,OR
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,False,OR
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,True,OR
