scientific_name,common_name,region,source,flower_color,height,bloom,sun,soil,pollinators
Thermopsis macrophylla,golden-pea,Sierran Steppe,Pollinator Partnership,,,,,yellow,yellow
Triteleia ixioides,pretty face,Sierran Steppe,Pollinator Partnership,,,,,,yellow with purple markings
Triteleia laxa,Ithuriel’s spear,Sierran Steppe,Pollinator Partnership,,,,,blue- violet,blue-violet
Aristolochia californica,California pipevine,Sierran Steppe,Pollinator Partnership,,brownish- purple,brownish- purple,brownish- purple,,
Clematis ligusticifolia,western virgin’s bower,Sierran Steppe,Pollinator Partnership,,,,,,white
"Lonicera ciliosa, L. hispidula",vine honeysuckle,Sierran Steppe,Pollinator Partnership,,,,,"orange, pink","orange, pink"
Annual Flowers,,Sierran Steppe,Pollinator Partnership,,,,,,
Clarkia concinna,red ribbons,Sierran Steppe,Pollinator Partnership,,,,,,bright pink
Collinsia heterophylla,Chinese houses,Sierran Steppe,Pollinator Partnership,,,,blue and white,blue and white,blue and white
Gilia capitata,ballhead blue gilia,Sierran Steppe,Pollinator Partnership,,,,,blue,blue
Gilia tricolor,bird’s eye gilia,Sierran Steppe,Pollinator Partnership,,,,lavender with dark center,lavender with dark center,
Nemophila maculata,fi vespot,Sierran Steppe,Pollinator Partnership,,,,white with purple blotches,white with purple blotches,white with purple blotches
Nemophila menziesii,baby blue eyes,Sierran Steppe,Pollinator Partnership,,,,sky blue,sky blue,sky blue
Arbutus menziesii,Pacifi c madrone,Sierran Steppe,Pollinator Partnership,w,hite,20-50’,April-May,sun to partial sun,"dry to moist, well drained"
Arctostaphylos spp.,manzanita,Sierran Steppe,Pollinator Partnership,white,to pink,2-8’,Dec.-May,sun,dry
Calycanthus occidentalis,western spicebush,Sierran Steppe,Pollinator Partnership,red-p,urple,6-10’,April-June,partial sun to shade,moist to wet
Ceanothus spp.,wild-lilac,Sierran Steppe,Pollinator Partnership,"white, p or p","ink, blue, urple",6”-10’,March-June,sun,"moist winter/spring, dry summer; good drainage"
Cercis occidentalis,western redbud,Sierran Steppe,Pollinator Partnership,brigh,t pink,10-18’,March-May,sun to partial sun,dry to moist
Cornus nuttallii,Pacifi c dogwood,Sierran Steppe,Pollinator Partnership,white greenis,"bracts, h center",20-50’,April-June,sun to shade,"dry to moist, acidic"
Eriodictyon californicum,yerba santa,Sierran Steppe,Pollinator Partnership,white,to pink,4-6’,May-June,sun,"moist winter/spring, dry summer; good drainage"
Frangula californica ssp. californica,California coffeeberry,Sierran Steppe,Pollinator Partnership,gree,nish,3-15’,May-June,sun to partial sun,dry to moist
Fremontodendron californicum,fl annel bush,Sierran Steppe,Pollinator Partnership,yel,low,8-20’,April-May,sun to shade,"moist winter/spring, dry summer; good drainage"
Heteromeles arbutifolia,toyon,Sierran Steppe,Pollinator Partnership,w,hite,6-10’,May-June,sun to partial sun,"moist, well drained"
Mimulus aurantiacus,bush monkeyfl ower,Sierran Steppe,Pollinator Partnership,ora,nge,2-4’,May-july,sun to partial sun,dry to moist
Philadelphus lewisii,mockorange,Sierran Steppe,Pollinator Partnership,w,hite,4-10’,May-June,sun to partial sun,dry to moist
Prunus virginiana,chokecherry,Sierran Steppe,Pollinator Partnership,w,hite,5-20’,May-June,sun,dry to moist
Rhododendron occidentale,western azalea,Sierran Steppe,Pollinator Partnership,"white, pa to",le yellow pink,6-10’,June-July,shade to sun,moist to wet
Ribes roezlii,Sierra gooseberry,Sierran Steppe,Pollinator Partnership,red-p,urple,2-5’,May-June,sun to partial sun,dry to moist
Rosa californica,wild rose,Sierran Steppe,Pollinator Partnership,pi,nk,3-6’,May-June,sun to partial sun,dry to moist
Sambucus nigra ssp. canadensis,blue elderberry,Sierran Steppe,Pollinator Partnership,w,hite,8-20’,May-Oct.,sun to partial sun,moist
Spiraea densifl ora,mountain spiraea,Sierran Steppe,Pollinator Partnership,brigh,t pink,2-3’,June-July,sun to partial sun,moist to wet
Styrax offi cinalis,western snowdrop bush,Sierran Steppe,Pollinator Partnership,w,hite,3-14’,April-June,sun to partial sun,dry
Achillea millefolium,yarrow,Sierran Steppe,Pollinator Partnership,white to,pale pink,1-2’,March-Nov.,sun,dry to moist
Aconitum columbianum,western monkshood,Sierran Steppe,Pollinator Partnership,blue-,purple,1-6’,June-Aug.,partial sun to shade,moist to wet
Aquilegia formosa,red columbine,Sierran Steppe,Pollinator Partnership,r,ed,1-4’,April-Aug.,partial sun to sun,moist to wet
Asclepias speciosa,showy milkweed,Sierran Steppe,Pollinator Partnership,white,to pink,1-3’,May-Aug.,sun,dry to moist
Cirsium occidentale,native thistles,Sierran Steppe,Pollinator Partnership,r,ed,2-4’,June-Aug.,sun,dry
Dicentra formosa,western bleeding- heart,Sierran Steppe,Pollinator Partnership,pi,nk,1-2’,March-July,partial sun to shade,dry to moist
Delphinium nudicaule,canyon larkspur,Sierran Steppe,Pollinator Partnership,r,ed,1-3’,March-June,partial shade,moist
Epilobium canum,California-fuchsia,Sierran Steppe,Pollinator Partnership,r,ed,1-2’,July-Oct.,sun,dry
Eriogonum spp.,wild buckwheats,Sierran Steppe,Pollinator Partnership,"white, yel","pink, or low",4”-4’,May-Nov.,sun,dry
Eriophyllum lanatum,woolly-sunfl ower,Sierran Steppe,Pollinator Partnership,yel,low,6-24”,May-Aug.,sun to partial sun,"moist winter/spring, dry summer; good drainage"
Eschscholzia californica,California poppy,Sierran Steppe,Pollinator Partnership,yellow to orange,6-24”,March-Nov.,sun to shade,"moist winter/spring, dry summer; good drainage",bees
Ipomopsis aggregata,scarlet gilia,Sierran Steppe,Pollinator Partnership,red,1-2’,June-Sept.,sun,dry,hummingbirds
Iris missouriensis,western blue fl ag,Sierran Steppe,Pollinator Partnership,blue,1-2’,May-July,sun to partial sun,moist to wet,"bees, hummingbirds"
Lilium pardalinum,leopard lily,Sierran Steppe,Pollinator Partnership,orange with darker spots,2-5’,May-July,sun to partial sun,moist to wet,"bees, butterfl ies, hummingbirds"
Lupinus polyphyllus,large-leaved lupine,Sierran Steppe,Pollinator Partnership,blue,2-4’,May-July,sun to partial sun,dry to moist,"bees, butterfl ies"
Mimulus cardinalis,scarlet monkeyfl ower,Sierran Steppe,Pollinator Partnership,red-orange,1-3’,April-Oct.,sun to partial sun,moist to wet,hummingbirds
Monardella odoratissima,mountain-pennyroyal,Sierran Steppe,Pollinator Partnership,pale pink to lavender,1/2-2’,June-Aug.,sun to partial sun,"moist winter/spring, dry summer; good drainage",butterfl ies
Penstemon heterophyllus,foothill penstemon,Sierran Steppe,Pollinator Partnership,blue-violet,1-3’,April-July,sun,"moist winter/spring, dry summer; good drainage","bees, butterfl ies, hummingbirds"
Phlox speciosa,showy phlox,Sierran Steppe,Pollinator Partnership,pink,6-12”,April-June,sun to partial sun,dry to moist,"butterfl ies, fl ies, hummingbirds"
Ranunculus californicus,California buttercup,Sierran Steppe,Pollinator Partnership,yellow,1-2’,Feb.-July,sun to partial sun,dry to moist,bees
Rudbeckia californica,California cone-fl ower,Sierran Steppe,Pollinator Partnership,yellow,3-4’,March-July,sun to partial sun,moist to wet,"bees, butterfl ies"
Scrophularia californica,California bee plant,Sierran Steppe,Pollinator Partnership,reddish-purple,3-6’,Feb.-July,partial sun to shade,moist,"butterfl ies, hummingbirds"
Sedum spathulifolium,Pacifi c stonecrop,Sierran Steppe,Pollinator Partnership,yellow,2-12”,April-July,partial sun to shade,dry to moist,"bees, butterfl ies"
Sidalcea malvifl ora,checkermallow,Sierran Steppe,Pollinator Partnership,pink,1-3’,March-June,sun to partial sun,"moist winter/spring, dry summer; good drainage",bees
Silene californica,Indian-pink,Sierran Steppe,Pollinator Partnership,red,6-18”,April-July,sun to partial sun,dry to moist,hummingbirds
Sisyrinchium angustifolium,narrow leaf blue-eyed grass,Sierran Steppe,Pollinator Partnership,blue-purple,4-16”,Feb.-July,sun,moist to wet,bees
Solidago californica,California goldenrod,Sierran Steppe,Pollinator Partnership,yellow,1-3’,July-Oct.,sun,dry to moist,"bees, butterfl ies"
Symphyotrichum chilense var. chilense,western aster,Sierran Steppe,Pollinator Partnership,violet,1-3’,July-Nov.,sun,moist to wet,"bees, butterfl ies"
Thermopsis macrophylla,golden-pea,Sierran Steppe,Pollinator Partnership,yellow,1-3’,April-June,sun to partial sun,dry to moist,bees
Triteleia ixioides,pretty face,Sierran Steppe,Pollinator Partnership,yellow with purple markings,6-18”,May-Aug.,sun,"moist winter/spring, dry summer; good drainage",bees
Triteleia laxa,Ithuriel’s spear,Sierran Steppe,Pollinator Partnership,blue-violet,1-2’,April-June,sun,"moist winter/spring, dry summer; good drainage",bees
Aristolochia californica,California pipevine,Sierran Steppe,Pollinator Partnership,brownish-purple,15’,Jan.-March,partial sun to shade,moist,"beetles, butterfl ies, fl ies"
Clematis ligusticifolia,western virgin’s bower,Sierran Steppe,Pollinator Partnership,white,20’,May-Aug.,sun to partial sun,moist,hummingbirds
"Lonicera ciliosa, L. hispidula",vine honeysuckle,Sierran Steppe,Pollinator Partnership,"orange, pink",10’,April-June,partial sun,moist,"bees, hummingbirds"
Annual Flowers,,Sierran Steppe,Pollinator Partnership,,,,,,
Clarkia concinna,red ribbons,Sierran Steppe,Pollinator Partnership,bright pink,2-12”,May-July,sun,"moist winter/spring, good drainage","bees, hummingbirds"
Collinsia heterophylla,Chinese houses,Sierran Steppe,Pollinator Partnership,blue and white,4-20”,March-July,partial sun to shade,"moist winter/spring, good drainage",bees.butterfl ies
Gilia capitata,ballhead blue gilia,Sierran Steppe,Pollinator Partnership,blue,6-12”,April-July,sun to partial sun,"moist winter/spring, good drainage","bees, fl ies"
Gilia tricolor,bird’seye gilia,Sierran Steppe,Pollinator Partnership,lavender with dark center,4-6”,March-April,sun to partial sun,"moist winter/spring, good drainage","bees, fl ies"
Nemophila maculata,fi vespot,Sierran Steppe,Pollinator Partnership,white with purple blotches,4-12”,March-July,sun,"moist winter/spring, good drainage",bees
Nemophila menziesii,baby blue eyes,Sierran Steppe,Pollinator Partnership,sky blue,4-12”,March-July,sun,"moist winter/spring, good drainage",bees
