Latin binomial,Common Names,Rating,Alert,Impact Score,Invasiveness Score,Distribution Score,Documentation Score,CDFA Rating
Solanum carolinense,Carolina horsenettle,Watch,,,,,,
Spartina alterniflora x S. foliosa,smooth hybrid cordgrass,High,,A,A,C,3.5,
Spartina anglica,English cordgrass,Moderate,Alert,B,B,D,3.5,
Spartina densiflora,dense-flowered cordgrass; Chilean cordgrass.,High,,A,B,C,3.5,
Spartina patens,salt marsh hay,Limited,,C,C,D,3,
Spartium junceum,Spanish broom,High,,A,B,B,3,
Sphaerophysa salsula,alkali swainsonpea,Watch,,,,,,
Stipa brachychaeta,punagrass,Watch,,,,,,
Stipa capensis,"Cape ricegrass, Mediterranean steppegrass, twisted-awned speargrass",Moderate,Alert,B,B,D,2,
Stipa manicata,Andean tussockgrass; tropical needlegrass,Limited,,C,C,B,2,
Stipa miliacea var. miliacea,smilo grass; bamboo grass; milo; ricegrass; rice millet; millet mountain-rice; San Diego grass,Limited,,C,B,B,2.5,
Tamarix aphylla,athel; athel pine; tamarisk; evergreen saltcedar,Limited,,C,B,B,3.5,
Tamarix chinensis,"Chinese tamarisk, fivestamen tamarisk",High,,A,A,A,3.5,
Tamarix gallica,French tamarisk,High,,A,A,A,3.5,
Tamarix parviflora,smallflower tamarisk,High,,A,A,B,3,
Tamarix ramosissima,saltcedar; tamarisk,High,,A,A,A,3.5,
Tanacetum vulgare,common tansy; golden buttons; garden tansy,Moderate,,B,B,B,3,
Tetragonia tetragonioides,New Zealand spinach; warrigal greens,Limited,,C,C,C,2,
Thinopyrum junceiforme,Russian wheatgrass,Watch,,,,,,
Torilis arvensis,hedgeparsley; spreading hedgeparsley,Moderate,,B,B,A,2.5,
Triadica sebifera,Chinese tallow tree; popcorn tree; chicken tree; Florida aspen; Vegetable tallow; white wax berry,Moderate,Alert,B,B,C,3,
Tribulus terrestris,"puncture vine; puncturevine, goat's head",Limited,,C,B,B,4,
Trifolium hirtum,rose clover,Limited,,C,B,B,3,
Ulex europaeus,gorse; common gorse; furze; prickly broom,High,,A,B,B,3,
Undaria pinnatifida,wakame; Japanese kelp; Asian seaweed,Limited,,C,B,C,3.5,
Urospermum picroides,"prickly goldenfleece, false hawkbit",Watch,,,,,,
Ventenata dubia,North Africa grass,Watch,,,,,,
Verbascum thapsus,woolly mullein; common mullein; lungwort; feltwort; torches; Jacob's staff; velvetplant; old man's flannel; miner's candle,Limited,,C,B,B,3.5,
Verbena bonariensis,tall vervain,Watch,,,,,,
Vinca major,periwinkle; bigleaf periwinkle; greater periwinkle; blue periwinkle; myrtle,Moderate,,B,B,B,2.5,
Volutaria tubuliflora,desert knapweed; Mediterranean knapweed,Limited,Alert,C,A,C,2.5,
Washingtonia robusta,Mexican fan palm; Washington palm; skyduster; thread palm,Moderate,Alert,B,B,C,3,
