page,category,swap_type,bad_scientific,bad_common,bad_notes,replacement_scientific,replacement_common,replacement_notes
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oxalis pes-caprae,"AFRICAN WOOD-SORREL, BUTTERCUP OXALIS, SOURGRASS",,Viola sempervirens,REDWOOD VIOLET,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Salvia aethiopis,MEDITERRANEAN SAGE,,"Monardella australis, syn. Monardella odoratissima",DESERT MINT,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Salvia aethiopis,MEDITERRANEAN SAGE,,Monardella macrantha,RED MONARDELLA,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Salvia aethiopis,MEDITERRANEAN SAGE,,Monardella villosa,COYOTE MINT,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Salvia aethiopis,MEDITERRANEAN SAGE,,Salvia spathacea,HUMMINGBIRD SAGE,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Verbena bonariensis,TALL VERBENA,,Monardella purpurea,SISKIYOU MONARDELLA,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Verbena bonariensis,TALL VERBENA,,Monardella villosa,COYOTE MINT,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Verbena bonariensis,TALL VERBENA,,Pycnanthemum californicum,MOUNTAIN MINT,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Verbena bonariensis,TALL VERBENA,,Sanicula bipinnatifida,SNAKEROOT,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Weedy mustards, grasses, and thistles",,,Asclepias albicans,WHITESTEM MILKWEED,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Weedy mustards, grasses, and thistles",,,Asclepias asperula,SPIDER MILKWEED,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Weedy mustards, grasses, and thistles",,,Asclepias erosa,DESERT MILKWEED,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Weedy mustards, grasses, and thistles",,,Asclepias linaria,PINE NEEDLE MILKWEED,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Weedy mustards, grasses, and thistles",,,Asclepias nyctaginifolia,MOJAVE MILKWEED,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Weedy mustards, grasses, and thistles",,,Asclepias subulata,"RUSH/SKELETON MILKWEED, AJAMETE",
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Weedy mustards, grasses, and thistles",,,Asclepias vestita,WOOLLY MILKWEED,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,POOR PLANTS,,,PLANT INSTEAD,,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Asclepias curassavica,TROPICAL MILKWEED,may be harmful to monarch butterflies,Asclepias californica,CALIFORNIA MILKWEED,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Asclepias curassavica,TROPICAL MILKWEED,may be harmful to monarch butterflies,Asclepias eriocarpa,KOTOLO MILKWEED,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Asclepias curassavica,TROPICAL MILKWEED,may be harmful to monarch butterflies,Asclepias speciosa,SHOWY MILKWEED,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Asclepias curassavica,TROPICAL MILKWEED,may be harmful to monarch butterflies,Silene californica,CALIFORNIA INDIAN PINK,
231,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Asclepias curassavica,TROPICAL MILKWEED,may be harmful to monarch butterflies,Silene laciniata,CARDINAL CATCHFLY,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum ×morifolium,HARDY GARDEN MUMS,,Achillea millefolium,YARROW,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum ×morifolium,HARDY GARDEN MUMS,,"Bahiopsis parishii, syn. Viguiera deltoidea",GOLDENEYE,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum ×morifolium,HARDY GARDEN MUMS,,"Calylophus hartwegii, C. drummondianus",SUNDROPS,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum ×morifolium,HARDY GARDEN MUMS,,Grindelia stricta,GUMWEED,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum ×morifolium,HARDY GARDEN MUMS,,Heterotheca sessiliflora,FALSE GOLDENASTER,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum ×morifolium,HARDY GARDEN MUMS,,Symphiotrichum,ASTER,species Venegasia carpesioides (CANYON SUNFLOWER)
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum ×morifolium,HARDY GARDEN MUMS,,Viguiera multiflora,MULTIFLOWERED GOLDENEYE,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum ×morifolium,HARDY GARDEN MUMS,,Wyethia glabra,SHINING MULE’S EARS,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum ×morifolium,HARDY GARDEN MUMS,,Wyethia mollis,WOOLLY MULE’S EARS,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Dianthus species, doubled carnations and sweet Williams",,,Achillea millefolium,YARROW,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Dianthus species, doubled carnations and sweet Williams",,,Sidalcea,CHECKERMALLOW,species Symphiotrichum (ASTER) species
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Dietes bicolor, D. grandiflora, D. iridioides, and hybrids","FORTNIGHT LILY, AFRICAN IRIS",,"Epilobium canum, syn. Zauschneria canum",CALIFORNIA FUCHSIA,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Dietes bicolor, D. grandiflora, D. iridioides, and hybrids","FORTNIGHT LILY, AFRICAN IRIS",,Hesperoyucca whipplei,CHAPARRAL YUCCA,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Dietes bicolor, D. grandiflora, D. iridioides, and hybrids","FORTNIGHT LILY, AFRICAN IRIS",,Iris macrosiphon,LONG TUBED IRIS,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Phormium cookianum, P. tenax, and hybrids",PHORMIUM,many of these are invasive,"Epilobium canum, syn. Zauschneria canum",CALIFORNIA FUCHSIA,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Phormium cookianum, P. tenax, and hybrids",PHORMIUM,many of these are invasive,Hesperoyucca whipplei,CHAPARRAL YUCCA,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Phormium cookianum, P. tenax, and hybrids",PHORMIUM,many of these are invasive,Iris macrosiphon,LONG TUBED IRIS,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Gomphocarpus physocarpus, syn. Asclepias physocarpus","HAIRY BALLS, BALLOONPLANT","may be harmful to monarch butterflies, but more research needed",Asclepias californica,CALIFORNIA MILKWEED,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Gomphocarpus physocarpus, syn. Asclepias physocarpus","HAIRY BALLS, BALLOONPLANT","may be harmful to monarch butterflies, but more research needed",Asclepias cordifolia,HEART LEAF MILKWEED,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Gomphocarpus physocarpus, syn. Asclepias physocarpus","HAIRY BALLS, BALLOONPLANT","may be harmful to monarch butterflies, but more research needed",Asclepias cryptoceras,PALLID MILKWEED,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Gomphocarpus physocarpus, syn. Asclepias physocarpus","HAIRY BALLS, BALLOONPLANT","may be harmful to monarch butterflies, but more research needed",Asclepias eriocarpa,KOTOLO MILKWEED,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Gomphocarpus physocarpus, syn. Asclepias physocarpus","HAIRY BALLS, BALLOONPLANT","may be harmful to monarch butterflies, but more research needed",Asclepias speciosa,SHOWY MILKWEED,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Paeonia lactiflora,CHINESE PEONIES,doubled hybrids,Paeonia brownii,WESTERN PEONY,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Paeonia lactiflora,CHINESE PEONIES,doubled hybrids,Paeonia californica,CALIFORNIA PEONY,
232,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Paeonia lactiflora,CHINESE PEONIES,doubled hybrids,Sidalcea campestris,MEADOW CHECKERMALLOW,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Adonis aestivalis,PHEASANT’S EYE,,Clarkia amoena,FAREWELL TO SPRING,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Adonis aestivalis,PHEASANT’S EYE,,Clarkia concinna,RED RIBBONS,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Adonis aestivalis,PHEASANT’S EYE,,Clarkia rubicunda,RUBY CHALICE,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Adonis aestivalis,PHEASANT’S EYE,,Clarkia speciosa,RED-SPOTTED CLARKIA,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Adonis aestivalis,PHEASANT’S EYE,,Clarkia unguiculata,ELEGANT CLARKIA,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Adonis aestivalis,PHEASANT’S EYE,,Clarkia williamsonii,FORT MILLER CLARKIA,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum coronarium,ANNUAL CROWN DAISY,,Eschscholzia caespitosa,SUNCUPS,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum coronarium,ANNUAL CROWN DAISY,,Eschscholzia californica,CALIFORNIA POPPY,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Chrysanthemum coronarium,ANNUAL CROWN DAISY,,Layia platyglossa,COMMON TIDYTIPS,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Echium plantagineum,PATERSON’S CURSE,,Argemone corymbosa,MOJAVE PRICKLY POPPY,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Echium plantagineum,PATERSON’S CURSE,,Argemone munita,CHICALOTE,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Echium plantagineum,PATERSON’S CURSE,,Clarkia gracilis,SLENDER CLARKIA,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Echium plantagineum,PATERSON’S CURSE,,Gilia capitata,GLOBE GILIA,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Echium plantagineum,PATERSON’S CURSE,,Gilia tricolor,BIRD’S-EYES,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Echium plantagineum,PATERSON’S CURSE,,"Ipomopsis rubra, syn. Gilia rubra",SCARLET GILIA,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Echium plantagineum,PATERSON’S CURSE,,Lupinus nanus,SKY LUPINE,
254,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Echium plantagineum,PATERSON’S CURSE,,Phacelia campanularia,CALIFORNIA BLUEBELL,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Impatiens glandulifera,POLICEMAN’S HELMET,,Clarkia species Gilia species Phacelia tanacetifolia,LACY PHACELIA,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Misopates orontium, syn. Antirrhinum orontium",LESSER SNAPDRAGON,,Abronia villosa,HAIRY SAND VERBENA,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Misopates orontium, syn. Antirrhinum orontium",LESSER SNAPDRAGON,,Antirrhinum multiflorum,WITHERED SNAPDRAGON,and others Clarkia amoena (FAREWELL TO SPRING)
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Misopates orontium, syn. Antirrhinum orontium",LESSER SNAPDRAGON,,Clarkia gracilis,SLENDER CLARKIA,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Misopates orontium, syn. Antirrhinum orontium",LESSER SNAPDRAGON,,Collomia grandiflora,LARGE-FLOWERED COLLOMIA,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Misopates orontium, syn. Antirrhinum orontium",LESSER SNAPDRAGON,,Linanthus grandiflorus,LARGEFLOWER PHLOX,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Misopates orontium, syn. Antirrhinum orontium",LESSER SNAPDRAGON,,Lupinus nanus,SKY LUPINE,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Misopates orontium, syn. Antirrhinum orontium",LESSER SNAPDRAGON,,Lupinus succulentus,SUCCULENT LUPINE,and others
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oenothera glazioviana,RED SEPAL EVENING PRIMROSE,,Clarkia bottae,PUNCH BOWL GODETIA,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oenothera glazioviana,RED SEPAL EVENING PRIMROSE,,Clarkia breweri,FAIRY FANS,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oenothera glazioviana,RED SEPAL EVENING PRIMROSE,,Clarkia purpurea,WINECUP CLARKIA,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oenothera glazioviana,RED SEPAL EVENING PRIMROSE,,Eschscholzia caespitosa,SUNCUPS,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oenothera glazioviana,RED SEPAL EVENING PRIMROSE,,Eschscholzia californica,CALIFORNIA POPPY,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oenothera glazioviana,RED SEPAL EVENING PRIMROSE,,Oenothera elata,HOOKER’S EVENING PRIMROSE,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oncosiphon pilulifer,GLOBE CHAMOMILE,,Eschscholzia caespitosa,SUNCUPS,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oncosiphon pilulifer,GLOBE CHAMOMILE,,Eschscholzia californica,CALIFORNIA POPPY,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oncosiphon pilulifer,GLOBE CHAMOMILE,,Kallstroemia californica,CALIFORNIA CALTROP,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Oncosiphon pilulifer,GLOBE CHAMOMILE,,"Leptosyne calliopsidea, syn. Coreopsis calliopsidea",LEAFSTEM TICKSEED,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,POOR PLANTS,,,PLANT INSTEAD,,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Geranium lucidum,SHINING GERANIUM,and others,"Collinsia herophylla, syn. Collinsia bicolor",PURPLE CHINESE HOUSES,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Geranium lucidum,SHINING GERANIUM,and others,Gilia tricolor,BIRD’S-EYES,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Geranium lucidum,SHINING GERANIUM,and others,Nemophila maculata,FIVESPOT,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Geranium lucidum,SHINING GERANIUM,and others,Nemophila menziesii,BABY BLUE EYES,
255,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Geranium lucidum,SHINING GERANIUM,and others,Trifolium wildenovii,TOMCAT CLOVER,and others
256,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Helianthus annuus,ANNUAL SUNFLOWER,pollenless varieties,Eschscholzia caespitosa,SUNCUPS,
256,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Helianthus annuus,ANNUAL SUNFLOWER,pollenless varieties,Eschscholzia californica,CALIFORNIA POPPY,
256,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Helianthus annuus,ANNUAL SUNFLOWER,pollenless varieties,Helianthus annuus,ANNUAL SUNFLOWER,and others Lupinus luteolus (PALE YELLOW LUPINE)
256,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Impatiens hawkeri,NEW GUINEA IMPATIENS,"hybrids Petunia, most hybrids","Collinsia heterophylla, syn. Collinsia bicolor",PURPLE CHINESE HOUSES,
256,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Impatiens hawkeri,NEW GUINEA IMPATIENS,"hybrids Petunia, most hybrids",Lupinus microcarpus,"CHICK LUPINE, DENSE- FLOWERED PLATYCARPOS",and others Nemophila maculata (FIVESPOT)
256,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Impatiens hawkeri,NEW GUINEA IMPATIENS,"hybrids Petunia, most hybrids",Nemophila menziesii,BABY BLUE EYES,
256,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Impatiens hawkeri,NEW GUINEA IMPATIENS,"hybrids Petunia, most hybrids",Trifolium albopurpureum,RANCHERIA CLOVER,
256,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Impatiens hawkeri,NEW GUINEA IMPATIENS,"hybrids Petunia, most hybrids",Trifolium ciliolatum,FOOTHILL CLOVER,
256,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Tagetes erecta,AFRICAN MARIGOLD,,Layia platyglossa,COMMON TIDYTIPS,
256,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Tagetes erecta,AFRICAN MARIGOLD,,Trifolium fucatum,SOUR CLOVER,and others
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila arenaria,EUROPEAN BEACH GRASS,,Calamagrostis nutkaensis,PACIFIC REEDGRASS,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila arenaria,EUROPEAN BEACH GRASS,,Carex spissa,SAN DIEGO SEDGE,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila arenaria,EUROPEAN BEACH GRASS,,Eleocharis macrostachya,COMMON SPIKERUSH,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila arenaria,EUROPEAN BEACH GRASS,,Elymus mollis,AMERICAN DUNEGRASS,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila arenaria,EUROPEAN BEACH GRASS,,Juncus acutus,SPINY RUSH,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila arenaria,EUROPEAN BEACH GRASS,,Schoenoplectus californicus,CALIFORNIA BULRUSH,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila breviligulata,AMERICAN BEACH GRASS,,Calamagrostis nutkaensis,PACIFIC REEDGRASS,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila breviligulata,AMERICAN BEACH GRASS,,Carex spissa,SAN DIEGO SEDGE,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila breviligulata,AMERICAN BEACH GRASS,,Eleocharis macrostachya,COMMON SPIKERUSH,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila breviligulata,AMERICAN BEACH GRASS,,Elymus mollis,AMERICAN DUNEGRASS,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila breviligulata,AMERICAN BEACH GRASS,,Juncus acutus,SPINY RUSH,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ammophila breviligulata,AMERICAN BEACH GRASS,,Schoenoplectus californicus,CALIFORNIA BULRUSH,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ampelodesmos mauritanicus,MAURITANIAN GRASS,,Calamagrostis nutkaensis,PACIFIC REEDGRASS,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ampelodesmos mauritanicus,MAURITANIAN GRASS,,Carex spissa,SAN DIEGO SEDGE,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ampelodesmos mauritanicus,MAURITANIAN GRASS,,Eleocharis macrostachya,COMMON SPIKERUSH,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ampelodesmos mauritanicus,MAURITANIAN GRASS,,Elymus mollis,AMERICAN DUNEGRASS,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ampelodesmos mauritanicus,MAURITANIAN GRASS,,Juncus acutus,SPINY RUSH,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Ampelodesmos mauritanicus,MAURITANIAN GRASS,,Schoenoplectus californicus,CALIFORNIA BULRUSH,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Andropogon virginicus,BROOMSEDGE,,Melica californica,CALIFORNIA MELICGRASS,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Andropogon virginicus,BROOMSEDGE,,Sporobolus airoides,ALKALI SACATON,
266,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Andropogon virginicus,BROOMSEDGE,,Stipa pulchra,PURPLE NEEDLEGRASS,and others
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Arundo donax,GIANT REED,,Salix,WILLOW,"species native to your area, like S. exigua (SANDBAR WILLOW)"
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Cenchrus ciliaris, syn. Pennisetum ciliare",BUFFEL GRASS,,Carex spissa,SAN DIEGO SEDGE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Cenchrus ciliaris, syn. Pennisetum ciliare",BUFFEL GRASS,,Melica subulata,ALASKA ONION GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Cenchrus ciliaris, syn. Pennisetum ciliare",BUFFEL GRASS,,Muhlenbergia emersleyi,BULL GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Cenchrus ciliaris, syn. Pennisetum ciliare",BUFFEL GRASS,,Muhlenbergia lindheimeri,LINDHEIMER’S MUHLY GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Pennisetum clandestinum,KIKUYU GRASS,,Carex spissa,SAN DIEGO SEDGE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Pennisetum clandestinum,KIKUYU GRASS,,Melica subulata,ALASKA ONION GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Pennisetum clandestinum,KIKUYU GRASS,,Muhlenbergia emersleyi,BULL GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Pennisetum clandestinum,KIKUYU GRASS,,Muhlenbergia lindheimeri,LINDHEIMER’S MUHLY GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Pennisetum setaceum,CRIMSON FOUNTAINGRASS,,Carex spissa,SAN DIEGO SEDGE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Pennisetum setaceum,CRIMSON FOUNTAINGRASS,,Melica subulata,ALASKA ONION GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Pennisetum setaceum,CRIMSON FOUNTAINGRASS,,Muhlenbergia emersleyi,BULL GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Pennisetum setaceum,CRIMSON FOUNTAINGRASS,,Muhlenbergia lindheimeri,LINDHEIMER’S MUHLY GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia jubata,PURPLE PAMPAS GRASS,,Carex spissa,SAN DIEGO SEDGE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia jubata,PURPLE PAMPAS GRASS,,"Elymus condensatus, syn. Leymus condensatus",GIANT WILD RYE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia jubata,PURPLE PAMPAS GRASS,,"Elymus mollis, syn. Leymus mollis",AMERICAN DUNEGRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia jubata,PURPLE PAMPAS GRASS,,Festuca californica,CALIFORNIA FESCUE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia jubata,PURPLE PAMPAS GRASS,,Muhlenbergia rigens,DEER GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia jubata,PURPLE PAMPAS GRASS,,Nolina bigelovii,BIGELOW’S BEARGRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia jubata,PURPLE PAMPAS GRASS,,Xerophyllum tenax,"BEAR GRASS, INDIAN BASKET GRASS",
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia selloana,PAMPAS GRASS,,Carex spissa,SAN DIEGO SEDGE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia selloana,PAMPAS GRASS,,"Elymus condensatus, syn. Leymus condensatus",GIANT WILD RYE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia selloana,PAMPAS GRASS,,"Elymus mollis, syn. Leymus mollis",AMERICAN DUNEGRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia selloana,PAMPAS GRASS,,Festuca californica,CALIFORNIA FESCUE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia selloana,PAMPAS GRASS,,Muhlenbergia rigens,DEER GRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia selloana,PAMPAS GRASS,,Nolina bigelovii,BIGELOW’S BEARGRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,Cortaderia selloana,PAMPAS GRASS,,Xerophyllum tenax,"BEAR GRASS, INDIAN BASKET GRASS",
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Ehrharta calycina, E. erecta",VELDT GRASSES,,Carex spissa,SAN DIEGO SEDGE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Ehrharta calycina, E. erecta",VELDT GRASSES,,"Elymus condensatus, syn. Leymus condensatus",GIANT WILD RYE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Ehrharta calycina, E. erecta",VELDT GRASSES,,"Elymus mollis, syn. Leymus mollis",AMERICAN DUNEGRASS,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Ehrharta calycina, E. erecta",VELDT GRASSES,,Festuca californica,CALIFORNIA FESCUE,
267,"Small Trees / Large Shrubs, Evergreen",BAD OR NOXIOUS,"Ehrharta calycina, E. erecta",VELDT GRASSES,,Muhlenbergia rigens,DEER GRASS,
