scientific_name,common_name,deer_resistant
Solidago caesia,Axillary Goldenrod,True
Solidago juncea,Early Goldenrod,True
Solidago nemoralis,Common Goldenrod,True
Solidago odora,Anise Goldenrod,True
Solidago rugosa 'Fireworks',Fireworks Goldenrod,True
Solidago sempervirens,Seaside Goldenrod,True
Solidago speciosa,Showy Goldenrod,True
Solidago sphacelata,Autumn Goldenrod,True
Solidago virgaurea 'Peter Pan',Peter Pan Goldenrod,True
Sorghastrum nutans,Indiangrass,True
Spiraea alba,Meadowsweet,True
Spiraea cantoniensis,Bridal-wreath Spiraea,True
Spiraea japonica 'Goldmound',Goldmound Spirea,True
Spiraea nipponica 'Snowmound',Snowmound Spiraea,True
Spiraea thunbergii 'Ogon',Golden Thunberg's Spirea,True
Spiraea tomentosa,Hardbark Spiraea,True
Spiraea x vanhouttei,Bridal Wreath,True
Sporobolus heterolepis,Prairie Dropseed,True
Stachys byzantina,Lamb's Ear,True
Stokesia laevis,Stokes' Aster,True
Syringa oblata,Broadleaf Lilac,True
Syringa persica,Persian Lilac,True
Syringa reticulata,Japanese Tree Lilac,True
Syringa villosa,Late Lilac,True
Syringa vulgaris,Common Lilac,True
Tagetes,Marigold,True
Tagetes erecta,African Marigold,True
Tagetes patula,French Marigold,True
Taxodium distichum,Baldcypress,True
Tetradium daniellii,Bee Bee Tree,True
Teucrium chamaedrys,Germander,True
Thalictrum aquilegiifolium,Columbine Meadowrue,True
Thalictrum dasycarpum,Purple Meadowrue,True
Thelypteris kunthii,Kunth's Maiden Fern,True
Thelypteris noveboracensis,New York Fern,True
Thelypteris palustris subsp. pubescens,Eastern Marsh Fern,True
Thymus praecox,Creeping Thyme,True
Thymus pseudolanuginosus,Wooly Thyme,True
Thymus pulegioides,Broad-Leaved Thyme,True
Thymus serpyllum,Creeping Thyme,True
Thymus x citriodorus,Lemon Thyme,True
Tulbaghia violacea,Pink Agapanthus,True
Ulmus alata,Winged Elm,True
Ulmus americana,American Elm,True
Verbascum,Mullein,True
Verbascum thapsus,Common Mullein,True
Verbena bonariensis,Argentinian Vervain,True
Verbena rigida,Purple Verbena,True
Verbesina occidentalis,Small Yellow Crownbeard,True
Vernonia gigantea,Giant Ironweed,True
Veronica,Speedwell,True
Veronica spicata,Spiked Speedwell,True
Veronicastrum virginicum,Bowman's Root,True
Viburnum acerifolium,Maple Leaf Viburnum,True
Viburnum awabuki 'Chindo',Chindo Sweet Viburnum,True
Viburnum carlesii,Koreanspice Viburnum,True
Viburnum cassinoides,Blue Haw,True
Viburnum davidii,David Viburnum,True
Viburnum dilatatum,Linden Viburnum,True
Viburnum lantana,Wayfaringtree Viburnum,True
Viburnum lantanoides,Alder-leaved Viburnum,True
Viburnum lentago,Black Haw,True
Viburnum obovatum,Small Leaf Arrowwood,True
Viburnum opulus,Cranberry Bush Viburnum,True
Viburnum plicatum var. tomentosum,Doublefile Viburnum,True
Viburnum prunifolium,Blackhaw,True
Viburnum x juddii,Judd Viburnum,True
Viburnum x pragense,Pragense Viburnum,True
Vinca major,Big Leaf Periwinkle,True
Vinca minor,Common Periwinkle,True
Viola canadensis,Canada Violet,True
Viola cornuta,Horned Violet,True
Viola odorata,Common Violet,True
Viola pedata,Bird-Foot Violet,True
Viola sororia,Common Blue Violet,True
Viola x wittrockiana,Pansy,True
Vitex agnus-castus,Chasteberry,True
Waldsteinia ternata,Barren Strawberry,True
Weigela florida,Old Fashioned Weigela,True
Wisteria,Wisteria,True
Wisteria floribunda,Japanese Wisteria,True
Wisteria frutescens 'Amethyst Falls',Amethyst Falls Wisteria,True
Wisteria sinensis,Chinese Wisteria,True
Woodsia obtusa,Common Woodsia,True
Woodwardia areolata,Netted Chain Fern,True
Zinnia haageana,Mexican Zinnia,True
Zizia aptera,Heartleaf Golden-Alexanders,True
