scientific_name,common_name,deer_resistant
Betula lenta,Black Birch,True
Betula nigra 'Shiloh Splash',River Birch,True
Betula 'Royal Frost',Royal Frost Birch,True
Bigelowia nuttallii,Rayless Goldenrod,True
Blechnum spicant,Deer Fern,True
Boltonia asteroides,False Aster,True
Boltonia decurrens,Decurrent False Aster,True
Borago officinalis,Borage,True
Buddleja alternifolia,Fountain Butterfly Bush,True
Buddleja davidii,Butterfly Bush,True
Buddleja globosa,Orange Ball Tree,True
Buddleja x weyeriana,Weyer's Butterfly Bush,True
Buxus,Boxwood,True
Buxus 'Green Gem',Green Gem Boxwood,True
Buxus 'Green Mountain',Green Mountain Boxwood,True
Buxus 'Green Velvet',Green Velvet Boxwood,True
Buxus harlandii,Harland Boxwood,True
Buxus microphylla,Littleleaf Boxwood,True
Buxus microphylla var. japonica,Japanese Boxwood,True
Buxus sempervirens,Common Boxwood,True
Buxus sempervirens 'Suffruticosa',English Boxwood,True
Buxus sempervirens 'Vardar Valley',Vardar Valley Boxwood,True
Buxus sinica,Korean Boxwood,True
Calamagrostis arundinacea,Korean Feather Reed Grass,True
Calamagrostis x acutiflora,Feather Reed Grass,True
Calamagrostis x acutiflora 'Karl Foerster',Karl Foerster Feather Reed Grass,True
Calendula officinalis,Pot Marigold,True
Callicarpa bodinieri,Bodinier Beautyberry,True
Callicarpa dichotoma,Purple Beautyberry,True
Callitropsis nootkatensis 'Pendula',Nootka Cypress,True
Caltha palustris,Marsh Marigold,True
Calycanthus chinensis,Chinese Sweetshrub,True
Camellia oleifera,Oil-seed Camellia,True
Camellia reticulata,To-tsubaki,True
Camellia sasanqua,Sasanqua Camellia,True
Camellia sinensis,Tea Camellia,True
Campanula carpatica,Carpathian Bellflower,True
Campanula glomerata,Clustered Bellflower,True
Campanula medium,Canterbury Bells,True
Campanula persicifolia,Peachleaf Bellflower,True
Campanula punctata,Spotted Bellflower,True
Campanula trachelium,Coventry Bellflower,True
Campsis grandiflora,Chinese Trumpet Creeper,True
Campsis x tagliabueana,Madame Galen,True
Canna flaccida,Golden Canna,True
Capsicum annuum,Sweet Pepper,True
Carex albula,New Zealand Hair Sedge,True
Carex buchananii,Leatherleaf Sedge,True
Carex divulsa,European Gray Sedge,True
Carex dolichostachya,Gold Fountains,True
Carex flagellifera,Weeping Brown Sedge,True
Carex grayi,Gray's Sedge,True
Carex laxiculmis 'Bunny Blue',Creeping Sedge,True
Carex normalis,Greater Straw Sedge,True
Carex oshimensis,Evergold Sedge,True
Carex texensis,Texas Sedge,True
Cartrema americana,Devilwood,True
Caryopteris,Bluebeard,True
Caryopteris x clandonensis,Blue Mist Shrub,True
Castanea dentata,American Chestnut,True
Castanea sativa,Spanish Chestnut,True
Catalpa ovata,Chinese Catalpa,True
Catharanthus roseus,Madagascar Periwinkle,True
Centaurea cyanus,Bachelor's Button,True
Cephalanthus occidentalis,Buttonbush,True
Cephalotaxus harringtonia,Japanese Plum Yew,True
Cephalotaxus harringtonia 'Duke Gardens',Duke Gardens Plum Yew,True
Cephalotaxus harringtonia 'Prostrata',Prostrate Japanese Plum Yew,True
Cerastium tomentosum,Snow-in-summer,True
Ceratostigma plumbaginoides,Blue Leadwort,True
Ceratostigma willmottianum,Chinese Leadwort,True
Cercis canadensis,Eastern Redbud,True
Cercis chinensis,Chinese Redbud,True
Cercis chingii,Ching's Redbud,True
Cercis gigantea,Giant Redbud,True
Cercis siliquastrum,Judas Tree,True
Cestrum,Cestrum,True
Cestrum aurantiacum,Orange Cestrum,True
Chaenomeles,Flowering Quince,True
Chaenomeles speciosa,Common Flowering Quince,True
Chamaecyparis,False-cypress,True
Chamaecyparis obtusa 'Crippsii',Golden Hinoke Cypress,True
Chamaecyparis pisifera 'Snow',Snow False-cypress,True
Chamaecyparis thyoides 'Red Star',Red Star White Cypress,True
Chasmanthium latifolium,River Oats,True
Chelone lyonii,Pink Turtlehead,True
Chrysanthemum x morifolium,Garden Mum,True
